1074,9017,1
1051,9018,1
1096,9000,2
1083,9025,4
1004,9020,1
1003,9000,3
1062,9005,3
1099,9000,2
1041,9003,2
1003,9028,1
1060,9012,3
1045,9018,4
1008,9000,4
1074,9028,3
1096,9029,1
1094,9001,4
1072,9027,5
1070,9022,4
1044,9016,1
1060,9011,3
1009,9000,2
1057,9015,2
1001,9000,1
1054,9025,1
1003,9012,3
1086,9011,3
1078,9011,1
1040,9021,1
1062,9020,2
1096,9030,2
1091,9024,3
1029,9016,5
1053,9029,2
1070,9012,1
1030,9027,3
1012,9020,4
1082,9021,5
1094,9021,3
1072,9011,1
1015,9024,4
1056,9029,3
1091,9003,2
1074,9019,2
1026,9000,3
1097,9030,3
1065,9018,3
1006,9007,5
1038,9001,5
1039,9021,4
1073,9012,3
1040,9005,4
1029,9019,1
1073,9005,3
1095,9017,4
1017,9024,3
1076,9011,5
1078,9013,1
1088,9006,1
1064,9008,1
1054,9001,1
1057,9000,3
1032,9012,4
1097,9020,1
1041,9024,5
1084,9015,5
1067,9012,1
1086,9028,3
1044,9030,2
1003,9009,1
1033,9028,4
1059,9018,1
1052,9017,2
1031,9004,3
1066,9021,1
1099,9027,3
1057,9027,1
1006,9014,2
1058,9011,1
1051,9009,5
1064,9011,3
1009,9017,4
1066,9022,3
1017,9017,4
1022,9021,3
1048,9023,2
1100,9016,1
1092,9020,1
1017,9020,2
1081,9002,1
1016,9002,5
1091,9001,3
1095,9002,4
1032,9021,4
1084,9027,1
1007,9002,1
1080,9020,1
1061,9017,4
1089,9014,2
1040,9012,4
1020,9024,2
